id,numpos,bytes,fen,dtm
KQRRRK,813937722,31428764,8/8/4R1RQ/6KR/8/8/1k6/8 w - - ,7
KRRRKN,864592254,80013403,8/R7/8/3R4/1R6/8/2n5/K1k5 w - - ,63
KRRRKB,864592254,94202877,7K/8/5b2/4R3/3R4/2R5/1k6/8 w - - ,35
KRRRKR,864592254,97700145,6rK/8/8/8/2R5/3k4/2R5/4R3 w - - ,65
KRRRKQ,864592254,140421007,1R4R1/8/8/R7/4q3/8/2k5/4K3 w - - ,137
KQQRRK,1178279019,54398509,7Q/6RQ/6KR/8/8/8/3k4/8 w - - ,7
KQRRKN,2547484182,218027878,8/R7/8/3Q4/1R6/8/2n5/K1k5 w - - ,63
KQRRKB,2547484182,238727727,8/8/8/8/6b1/3k4/8/2RKQR2 w - - ,35
KQRRKR,2547484182,256218547,8/7K/7r/8/1RQ5/8/6R1/k7 w - - ,81
KQRRKQ,2547484182,325321594,8/R7/3R4/8/K7/1q6/2k5/Q7 w - - ,133
KRRKNN,1376421030,441543172,8/7R/2n2n2/7R/4K3/8/8/2k5 w - - ,85
KRRKBN,2752842060,905675010,4n1b1/8/8/8/2R5/8/4R3/1K1k4 w - - ,87
KRRKRN,2752842060,706101758,8/4n3/8/1R6/1R6/K7/2k5/7r w - - ,177
KRRKQN,2752842060,1007630120,5q2/1n6/6K1/8/6RR/8/8/k7 w - - ,85
KRRKBB,1376421030,470004048,8/8/6b1/4b3/3R4/8/2k5/R6K w - - ,89
KRRKRB,2752842060,573313636,8/8/8/4R3/7b/K5R1/8/1k1r4 w - - ,133
KRRKQB,2752842060,1135420058,8/R7/8/8/8/8/2k1KR2/1qb5 w - - ,67
KRRKRR,1376421030,274678725,8/8/8/8/1r6/6K1/RR6/1rk5 w - - ,79
KRRKQR,2752842060,921021652,8/5R2/5r2/8/8/6K1/3Rq3/1k6 w - - ,65
KRRKQQ,1376421030,429589140,1R6/1R6/8/8/q7/7q/6K1/k7 w - - ,57
KQQQRK,731602140,20526212,4Q1Q1/8/8/8/4R2Q/8/8/k3K3 w - - ,5
KQQRKN,2415271554,173952707,8/R7/8/3Q4/1Q6/8/2n5/K1k5 w - - ,63
KQQRKB,2415271554,184462183,8/8/8/8/5R2/2k1b3/8/1QKQ4 w - - ,27
KQQRKR,2415271554,199079181,8/1R6/8/8/Kr6/3Q4/4Q3/2k5 w - - ,73
KQQRKQ,2415271554,240901805,K3q3/R7/8/3Q4/8/8/2k5/Q7 w - - ,135
KQRKNN,2656136340,541789880,3R3K/5n2/8/8/3n4/8/3k4/1Q6 w - - ,137
KQRKBN,5312272680,1132650034,8/8/8/1R6/3b4/1Q6/3kn3/K7 w - - ,105
KQRKRN,5312272680,1257620724,8/8/8/7Q/2R5/3k4/7n/1r3K2 w - - ,133
KQRKQN,5312272680,1472147388,8/3R4/1q6/1n3Q2/7K/8/8/2k5 w - - ,165
